CustomerID,FirstName,LastName,DateOfBirth,Contact_Email,Contact_Phone,Account_Type,Account_Open_Date,Account Number,Employment_Status
684091,Kelly,Greene,4/21/2000,kelly.greene@example.com,(259)906-7878,savings,7/19/2019,9377747487,student
606805,Justin,Owens,12/24/2001,justin.owens@example.com,001-436-754-2711x858,savings,5/27/2023,9875822130,student
897387,Debra,Rodriguez,11/9/1999,debra.rodriguez@example.com,494-347-4745x74504,current,7/13/2015,4246937534,student
883986,Dylan,Lindsey,8/6/2002,dylan.lindsey@example.com,550-888-4899x5565,current,12/26/2016,7327174038,employed
939985,Pamela,Rose,12/1/1992,pamela.rose@example.com,(236)994-3964x910,savings,3/18/2016,2535225529,student
900123,Chris,Ruiz,5/4/1998,chris.ruiz@example.com,397-554-6168,savings,9/28/2015,4310533553,student
787530,Alexis,Page,12/14/1995,alexis.page@example.com,370.252.2383x02320,current,5/25/2017,6473296762,student
444077,Latoya,Potts,10/2/2001,latoya.potts@example.com,+1-313-990-3736x65108,savings,5/12/2023,9889211976,student
249642,Christina,Beck,6/24/1989,christina.beck@example.com,001-415-273-4561x895,savings,1/10/2015,8665377389,student
584501,Kristen,Miller,5/19/1991,kristen.miller@example.com,+1-316-817-5617x346,savings,1/8/2017,5071134790,student
477514,Jasmin,Carroll,5/12/1999,jasmin.carroll@example.com,(857)552-5232x78525,savings,11/22/2022,2665220527,student
630176,Jill,Ho,3/19/1999,jill.ho@example.com,591-605-7407x414,savings,12/31/2017,9268316289,student
913900,Molly,Martinez,11/6/1993,molly.martinez@example.com,(826)555-4991x45629,current,7/30/2018,7848463337,student
968384,Carl,Sparks,5/8/1998,carl.sparks@example.com,(679)402-3294x03739,savings,9/29/2019,6419042031,student
331146,Dawn,Nguyen,7/5/2001,dawn.nguyen@example.com,001-516-994-4181,savings,3/13/2016,4646567456,employed
322046,Shawn,Jefferson,8/6/1993,shawn.jefferson@example.com,001-545-418-1704x817,savings,8/26/2021,7937631139,student
686009,Christopher,Smith,1/7/1992,christopher.smith@example.com,361-731-4217x059,savings,4/18/2021,9941868249,employed
628695,Jennifer,Richardson,7/16/1997,jennifer.richardson@example.com,(415)864-8892,savings,3/24/2014,2747756267,student
230712,Carol,Delgado,1/27/1990,carol.delgado@example.com,423-849-3196,savings,9/12/2017,5241870020,employed
399451,Joseph,Mccann,1/4/1988,joseph.mccann@example.com,608-628-4969,savings,3/26/2018,8512944724,student
852788,Catherine,Fernandez,10/25/1987,catherine.fernandez@example.com,764.928.1637,savings,9/16/2020,5824734292,student
898868,Nicole,Harris,12/21/2000,nicole.harris@example.com,+1-553-925-9662x1593,savings,12/18/2015,5550666418,student
400093,Linda,Mclean,2/8/1995,linda.mclean@example.com,212-403-7753x147,savings,11/2/2019,6568913776,employed
507959,Rebekah,Malone,5/27/2001,rebekah.malone@example.com,619.511.0094x934,savings,3/4/2021,3516372894,employed
705411,Michele,Stevenson,4/4/1997,michele.stevenson@example.com,364.292.0937x1951,savings,12/9/2018,8284252855,employed
